rho_minus : Fraction of material in state k consumed by task i 
    Size=1125, Index=rho_minus_index
    Key              : Lower : Value             : Upper : Fixed : Stale : Domain
     ('T1', 'S1', 0) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 1) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 2) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 3) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 4) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 5) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 6) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 7) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 8) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S1', 9) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 10) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 11) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 12) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 13) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 14) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 15) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 16) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 17) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 18) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 19) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 20) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 21) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 22) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 23) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
    ('T1', 'S1', 24) :     0 :                 1 :     1 :  True :  True : NonNegativeReals
     ('T1', 'S2', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S2', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
