Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value             : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 : 0.317443333207311 :   1.5 : False : False : NonNegativeReals
    ('R1', 'R_small') :   0.1 : 0.897709684728278 :     1 : False : False : NonNegativeReals
    ('R2', 'R_large') :  0.15 : 1.388888888888889 :   1.5 : False : False : NonNegativeReals
    ('R2', 'R_small') :   0.1 : 0.100002572486052 :     1 : False : False : NonNegativeReals
    ('R3', 'R_large') :  0.15 : 1.401046590793599 :   1.5 : False : False : NonNegativeReals
    ('R3', 'R_small') :   0.1 : 0.265620075873068 :     1 : False : False : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=183, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :               1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'C') :  0.05 :               1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'D') :   0.0 :               0.0 :   1.9 : False : False : NonNegativeReals
    (0.023258, 'B') :  0.05 : 0.986630171366475 :   1.0 : False : False : NonNegativeReals
    (0.023258, 'C') :  0.05 : 0.986630171366475 :   1.0 : False : False : NonNegativeReals
    (0.023258, 'D') :   0.0 :  0.02673965726705 :   1.9 : False : False : NonNegativeReals
    (0.096742, 'B') :  0.05 : 0.939130452107942 :   1.0 : False : False : NonNegativeReals
    (0.096742, 'C') :  0.05 : 0.939130452107942 :   1.0 : False : False : NonNegativeReals
    (0.096742, 'D') :   0.0 : 0.121739095784115 :   1.9 : False : False : NonNegativeReals
        (0.15, 'B') :  0.05 : 0.899034478244765 :   1.0 : False : False : NonNegativeReals
        (0.15, 'C') :  0.05 : 0.899034478244765 :   1.0 : False : False : NonNegativeReals
        (0.15, 'D') :   0.0 : 0.201931043510465 :   1.9 : False : False : NonNegativeReals
    (0.173258, 'B') :  0.05 : 0.879710644453532 :   1.0 : False : False : NonNegativeReals
