X : 1 if unit j processes task i starting at time t
    Size=3955, Index=X_index
    Key                       : Lower : Value : Upper : Fixed : Stale : Domain
            ('Mix', 'Mix', 0) :     0 :   1.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 1) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 2) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 3) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 4) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 5) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 6) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 7) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 8) :     0 :   0.0 :     1 : False : False : Binary
            ('Mix', 'Mix', 9) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 10) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 11) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 12) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 13) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 14) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 15) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 16) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 17) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 18) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 19) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 20) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 21) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 22) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 23) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 24) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 25) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 26) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 27) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 28) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 29) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 30) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 31) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 32) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 33) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 34) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 35) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 36) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 37) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 38) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 39) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 40) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 41) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 42) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 43) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 44) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 45) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 46) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 47) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 48) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 49) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 50) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 51) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 52) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 53) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 54) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 55) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 56) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 57) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 58) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 59) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 60) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 61) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 62) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 63) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 64) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 65) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 66) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 67) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 68) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 69) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 70) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 71) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 72) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 73) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 74) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 75) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 76) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 77) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 78) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 79) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 80) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 81) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 82) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 83) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 84) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 85) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 86) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 87) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 88) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 89) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 90) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 91) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 92) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 93) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 94) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 95) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 96) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 97) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 98) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Mix', 99) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 100) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 101) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 102) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 103) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 104) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 105) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 106) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 107) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 108) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 109) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 110) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 111) :     0 :   0.0 :     1 : False : False : Binary
          ('Mix', 'Mix', 112) :     0 :   0.0 :     1 : False : False : Binary
           ('Mix', 'Pack', 0) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 1) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 2) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 3) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 4) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 5) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 6) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 7) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 8) :     0 :     0 :     1 : False : False : Binary
           ('Mix', 'Pack', 9) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 10) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 11) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 12) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 13) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 14) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 15) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 16) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 17) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 18) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 19) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 20) :     0 :     0 :     1 : False : False : Binary
          ('Mix', 'Pack', 21) :     0 :     0 :     1 : False : False : Binary
